Subject	Group	Trial	Condition	item	Remove	StimSlide.ACC	StimSlide.RT	Structure	Number	First_NP
208	monolingual	33	2	6	no	1	4658	Object	Match	Singular
208	monolingual	17	2	7	no	0	5966	Object	Match	Singular
208	monolingual	12	2	8	no	1	3203	Object	Match	Singular
208	monolingual	8	2	9	no	1	5939	Object	Match	Singular
208	monolingual	40	2	10	no	0	3562	Object	Match	Singular
208	monolingual	32	3	1	no	1	4073	Subject	Mismatch	Singular
208	monolingual	37	3	2	no	1	4480	Subject	Mismatch	Singular
208	monolingual	37	3	3	no	1	7113	Subject	Mismatch	Singular
208	monolingual	9	3	4	no	1	6359	Subject	Mismatch	Singular
208	monolingual	20	3	5	no	1	3044	Subject	Mismatch	Singular
208	monolingual	9	3	6	no	1	3802	Subject	Mismatch	Singular
208	monolingual	32	3	7	no	1	5124	Subject	Mismatch	Singular
208	monolingual	5	3	8	no	1	3789	Subject	Mismatch	Singular
208	monolingual	19	3	9	no	1	4423	Subject	Mismatch	Singular
208	monolingual	5	3	10	no	1	3779	Subject	Mismatch	Singular
208	monolingual	35	4	1	no	0	4287	Object	Mismatch	Singular
208	monolingual	25	4	2	no	0	6691	Object	Mismatch	Singular
208	monolingual	2	4	3	no	0	5399	Object	Mismatch	Singular
208	monolingual	12	4	4	no	1	6128	Object	Mismatch	Singular
208	monolingual	24	4	6	no	0	6235	Object	Mismatch	Singular
208	monolingual	16	4	7	no	1	3825	Object	Mismatch	Singular
208	monolingual	23	4	9	no	0	3695	Object	Mismatch	Singular
208	monolingual	16	4	10	no	1	4362	Object	Mismatch	Singular
208	monolingual	13	5	1	no	1	3572	Subject	Mismatch	Plural
208	monolingual	22	5	2	no	1	3696	Subject	Mismatch	Plural
208	monolingual	21	5	3	no	1	5104	Subject	Mismatch	Plural
208	monolingual	25	5	4	no	1	4111	Subject	Mismatch	Plural
208	monolingual	3	5	5	no	1	3651	Subject	Mismatch	Plural
208	monolingual	3	5	6	no	1	3475	Subject	Mismatch	Plural
208	monolingual	34	5	7	no	0	3636	Subject	Mismatch	Plural
208	monolingual	13	5	10	no	1	3837	Subject	Mismatch	Plural
208	monolingual	31	6	1	no	0	4803	Object	Mismatch	Plural
208	monolingual	10	6	2	no	1	4482	Object	Mismatch	Plural
208	monolingual	38	6	3	no	0	4818	Object	Mismatch	Plural
208	monolingual	18	6	4	no	1	6699	Object	Mismatch	Plural
208	monolingual	31	6	5	no	0	3784	Object	Mismatch	Plural
