speaker,word,time_point,f1,f2,f3,f0,duration,vowel,voicing,place
it07,paga,3,692.7833463519,1187.0913419094,2369.6200592479,126.9459121015,96.8149370781,a,voiced,velar
it07,paga,4,687.9311800795,1219.2676460007,2350.8946092745,126.2234661878,96.8149370781,a,voiced,velar
it07,paga,5,692.9973820789,1236.625892283,2330.6328811125,126.7525549281,96.8149370781,a,voiced,velar
it07,paga,6,690.34381906,1259.3442650236,2286.3330993068,127.9560212584,96.8149370781,a,voiced,velar
it07,paga,7,665.9909700233,1281.7348889627,2235.1035979023,129.9538978618,96.8149370781,a,voiced,velar
it07,paga,8,635.848899838,1313.9276945888,2164.8431503671,132.2937390744,96.8149370781,a,voiced,velar
it07,paga,9,576.2571954737,1358.7975849518,2144.7968684605,133.3125312844,96.8149370781,a,voiced,velar
it07,pada,1,635.0374619767,1106.2770552662,2467.0715210953,120.6650554633,115.4331942085,a,voiced,coronal
it07,pada,2,688.3702643093,1137.2704590246,2483.6532114194,123.5227459488,115.4331942085,a,voiced,coronal
it07,pada,3,717.654083036,1182.8132484771,2516.316992618,125.1942302806,115.4331942085,a,voiced,coronal
it07,pada,4,736.024113456,1215.037900939,2533.1492874807,126.1309594908,115.4331942085,a,voiced,coronal
it07,pada,5,723.5927489582,1235.2274853589,2564.0574233141,125.9364167837,115.4331942085,a,voiced,coronal
it07,pada,6,709.703186759,1252.1583039263,2568.3320567585,126.5554511376,115.4331942085,a,voiced,coronal
it07,pada,7,704.562957729,1274.1261069667,2588.1473253067,128.8215887417,115.4331942085,a,voiced,coronal
it07,pada,8,664.9775824136,1295.367907718,2620.807591962,130.9431582531,115.4331942085,a,voiced,coronal
it07,pada,9,587.8178749202,1304.1002479257,2597.8078280328,131.425647942,115.4331942085,a,voiced,coronal
it07,pata,1,648.8645758144,1103.2656901708,2441.6766683474,NA,79.617633357,a,voiceless,coronal
it07,pata,2,678.4483574108,1131.6749570137,2452.005137522,NA,79.617633357,a,voiceless,coronal
it07,pata,3,704.4681405578,1168.4498377578,2483.8263695522,NA,79.617633357,a,voiceless,coronal
it07,pata,4,717.7695185839,1181.1937200422,2506.3070042722,120.8296579989,79.617633357,a,voiceless,coronal
it07,pata,5,722.5505268982,1198.7351654314,2530.3316627103,121.3005969443,79.617633357,a,voiceless,coronal
it07,pata,6,712.7614097396,1217.1684847456,2548.4590656587,122.4896676756,79.617633357,a,voiceless,coronal
it07,pata,7,701.6411615129,1235.6266515873,2560.090633592,123.3785078581,79.617633357,a,voiceless,coronal
it07,pata,8,709.8290582989,1261.8694372769,2551.5329517409,124.9101122411,79.617633357,a,voiceless,coronal
it07,pata,9,710.9048473146,1289.7388446849,2514.5714169784,126.9652298079,79.617633357,a,voiceless,coronal
it07,pogo,1,504.2164154856,953.3039060668,2416.58504115,NA,78.8172885187,o,voiced,velar
it07,pogo,2,516.0689469408,960.8474320822,2392.3998765592,126.6761641586,78.8172885187,o,voiced,velar
it07,pogo,3,526.1784480698,957.697322597,2376.0006991383,126.3046985835,78.8172885187,o,voiced,velar
it07,pogo,4,532.392287197,947.5614680091,2351.3533460202,125.8633957052,78.8172885187,o,voiced,velar
it07,pogo,5,535.1640063125,939.6202065262,2312.8750932378,126.4782143977,78.8172885187,o,voiced,velar
it07,pogo,6,535.7496741789,917.5012729975,2296.4552239521,127.19952948,78.8172885187,o,voiced,velar
it07,pogo,7,529.7183305522,893.320974458,2298.0778720364,127.7807266237,78.8172885187,o,voiced,velar
it07,pogo,8,519.309865051,865.6724578862,2307.2544873773,128.3535646916,78.8172885187,o,voiced,velar
it07,pogo,9,493.0782174475,838.2052445878,2305.4270183838,129.2378650325,78.8172885187,o,voiced,velar
it07,podo,1,475.5116858463,883.1910265193,2531.8502664145,127.0183354439,97.7346221683,o,voiced,coronal
it07,podo,2,495.6916719212,869.6625166054,2543.6513674011,127.6313402406,97.7346221683,o,voiced,coronal
